sig_id	canonical_smiles
CPC015_MCF7_24H:BRD-A46393198-003-10-9:10	C1CN2CC(N=C2S1)c1ccccc1
REP.A023_MCF7_24H:O19	C1CN2C[C@@H](N=C2S1)c1ccccc1
CPC015_MCF7_24H:BRD-K13819402-003-06-0:10	C1CN2Cc3ccccc3N=C2C1
CPD002_MCF7_24H:BRD-A28856712-003-19-5:10	C1CN=C(N1)C1CCCc2ccccc12
CPD003_MCF7_24H:I14	C1CN=C(N1)C1COc2ccccc2O1
MUC.CP008_MCF7_24H:I01	C1CN=C(N1)c1ccc2ccccc2n1
MUC.CP008_MCF7_24H:N01	C1CN=C(N1)c1cnc2ccccc2n1
CPC005_MCF7_24H:BRD-K56115039-003-01-3:10	C1CN=C(N1)c2cc3ccccc3cn2
CPC011_MCF7_24H:BRD-A24543851-001-04-0:10	C1CNC(C1)c1cccnc1
CPC020_MCF7_24H:BRD-K45542213-001-01-4:10	C1CNC2=NCCCN2C1
CPC005_MCF7_24H:BRD-A60583491-300-02-7:10	C1CN[C@H]2[C@@H](C1)C3CCC2[C@H]4N3CCc5c4[nH]c6ccccc56
LJP009_MCF7_24H:I01	C1COC[C@@H]1N2C3=NC(=NC=C3N=C2NC4=C(C=C(C=C4F)F)F)NC5CCC(CC5)O
LJP009_MCF7_24H:B07	C1C[C@H](CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N
CPC010_MCF7_24H:BRD-K32696739-001-16-6:10	C1Cc2c(CN1)[nH]c3ccccc23
CPC009_MCF7_24H:BRD-K09902564-019-01-1:10	C1Cc2c(CN1)scc2-c1nc2ccccc2s1
CPD003_MCF7_24H:D24	C1N2CN3CN1CN(C2)C3
CPC012_MCF7_24H:BRD-K18855837-046-01-4:10	C1[C@H]2CNC[C@@H]1c1cc3nccnc3cc21
CPC017_MCF7_24H:BRD-K54704028-001-01-3:10	C=C1C[C@@H]2COC(=O)[C@]2(Cc3ccc4ccccc4c3)C1
CPC016_MCF7_24H:BRD-K95676198-001-02-6:10	C=CC(=O)c1ccc2ccccc2c1
CPC010_MCF7_24H:BRD-K86565213-001-04-9:10	C=CCNc1oc(nc1C#N)C2CCCC2
LKCP002_MCF7_24H:F16	CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(cc2)C(=O)Nc2ccccn2)c2c(N)nccn12
LKCP002_MCF7_24H:F01	CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(CC21C)c5ccc(cc5)N(C)C
CPC013_MCF7_24H:BRD-A45664787-001-01-4:10	CC#CCC(C)[C@H](O)C=C[C@H]1[C@H](O)C[C@@H]2CC(C[C@H]12)=C/CCCC(O)=O
CPC016_MCF7_24H:BRD-K63792901-075-01-3:10	CC#CCOC(=O)C1=CCCN(C)C1
CPC017_MCF7_24H:BRD-A22707317-001-02-5:10	CC#CCOC(=O)c1c(C)nc2sc3CC(O)CCc3c2c1N
REP.A003_MCF7_24H:K01	CC#CCn1c(nc2n(C)c(=O)n(Cc3nc(C)c4ccccc4n3)c(=O)c12)N1CCC[C@@H](N)C1
REP.A007_MCF7_24H:C07	CC#C[C@@H](CC(O)=O)c1ccc(OCc2cccc(c2)-c2ccc(cc2)C(F)(F)F)cc1
CPD001_MCF7_24H:BRD-K44094313-001-01-6:10	CC#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c1ccc(cc1)N(C)C
CPC018_MCF7_24H:BRD-K37270826-001-16-9:10	CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c1ccc(cc1)N(C)C
CPC014_MCF7_24H:BRD-A96799240-001-01-7:10	CC(/C=C/C1=C(C)C(O)CCC1(C)C)=CC=CC(C)=CC(O)=O
CPC020_MCF7_24H:BRD-K76723084-001-18-2:10	CC(/C=C/C1=C(C)CCCC1(C)C)=CC=CC(C)=C/C(O)=O
PBIOA016_MCF7_24H:C13	CC(/C=C/C1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)Nc1ccc(O)cc1
PBIOA015_MCF7_24H:J07	CC(/C=C/C1=C(C)CCCC1(C)C)=CC=CC(C)=CC(O)=O
CPC015_MCF7_24H:BRD-A02176148-001-02-2:10	CC(=C)C1Cc2c(O1)ccc(C(=O)O)c2O
CPC005_MCF7_24H:BRD-A75769826-003-01-3:10	CC(=C)CN1CC[C@@]23[C@H]4Oc5c2c(CC1[C@]3(O)Cc1c4[nH]c2ccccc12)ccc5O
PBIOA014_MCF7_24H:K19	CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O
REP.A013_MCF7_24H:B13	CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@H]12)C(O)=O
REP.A002_MCF7_24H:G19	CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(O)=O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O
CPC011_MCF7_24H:BRD-M47793593-001-04-3:10	CC(=C)[C@@H]1[C@H]2OC(=O)[C@@H]1[C@]3(O)C[C@H]4O[C@]45C(=O)O[C@H]2[C@@]53C.CC(C)(O)[C@@H]1[C@H]2OC(=O)[C@@H]1[C@]3(O)C[C@H]4O[C@]45C(=O)O[C@H]2[C@@]53C
CPC018_MCF7_24H:BRD-K03842655-001-02-1:10	CC(=C)[C@H]1O[C@H]2CC[C@]3(C)[C@]4(C)[C@@H](CC[C@@]3(O)[C@@]52O[C@@H]5[C@H]1O)[C@@H]6OC(C)(C)[C@H]7C[C@@H]8C(=C)Cc9c(Cl)cc%10[nH]c4c6c%10c9[C@@]87O
CPD002_MCF7_24H:BRD-A15597386-001-01-7:10	CC(=C)[C@H]1[C@H]2OC(=O)C1[C@]1(O)CC3O[C@]33C(=O)O[C@@H]2[C@]13C
